Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1870-11,-0.32834628,-0.597928,-0.058764577
1870-12,-0.28891677,-0.56240344,-0.01543009
1871-01,-0.2736747,-0.50474054,-0.04260891
1871-02,-0.22799289,-0.44290894,-0.013076838
1871-03,-0.10862291,-0.35220605,0.13496023
1871-04,-0.28985175,-0.5262436,-0.053459894
1871-05,-0.27514333,-0.57000333,0.019716645
1871-06,-0.33304998,-0.68463886,0.018538848
1871-07,-0.13681187,-0.43747792,0.16385418
1871-08,-0.52343595,-0.8788611,-0.16801079
1871-09,-0.39336154,-0.6826917,-0.10403142
1871-10,-0.50663674,-0.78260595,-0.23066752
1871-11,-0.17428662,-0.41361782,0.06504458
1871-12,-0.31160235,-0.57412356,-0.04908115
1872-01,-0.3719323,-0.5789356,-0.164929
1872-02,-0.37955612,-0.62349427,-0.13561802
1872-03,-0.45358863,-0.6908792,-0.21629801
1872-04,-0.33749893,-0.60818005,-0.06681781
1872-05,-0.24817488,-0.54851854,0.052168798
1872-06,-0.36787182,-0.68112737,-0.054616284
1872-07,-0.2500889,-0.56370926,0.063531496
1872-08,-0.19103982,-0.566917,0.1848374
1872-09,-0.32912767,-0.632866,-0.025389265
1872-10,-0.2223445,-0.4774088,0.03271981
1872-11,-0.09272889,-0.3197763,0.13431852
1872-12,-0.3447847,-0.5689444,-0.12062507
1873-01,-0.042505544,-0.25610748,0.17109638
1873-02,-0.17177317,-0.3846779,0.041131563
1873-03,-0.25121573,-0.48523355,-0.017197914
1873-04,-0.27391437,-0.5204701,-0.027358681
1873-05,-0.24720575,-0.56891507,0.0745036
1873-06,-0.34759125,-0.69067377,-0.004508739
1873-07,-0.23657766,-0.53663737,0.06348204
1873-08,-0.28569022,-0.62553763,0.054157186
1873-09,-0.39338765,-0.69959366,-0.08718161
1873-10,-0.46807966,-0.71159214,-0.22456719
1873-11,-0.44288948,-0.6743475,-0.21143143
1873-12,-0.5240031,-0.7976588,-0.2503474
1874-01,-0.29686514,-0.52283335,-0.070896946
1874-02,-0.46503377,-0.68407667,-0.24599089
1874-03,-0.5134551,-0.72725064,-0.29965955
1874-04,-0.48952404,-0.7272895,-0.25175858
1874-05,-0.5925224,-0.90638226,-0.27866244
1874-06,-0.8256997,-1.1529559,-0.49844348
1874-07,-0.15353297,-0.4846712,0.17760526
1874-08,-0.43077767,-0.805214,-0.05634135
1874-09,-0.34374315,-0.6144948,-0.072991475
1874-10,-0.5693645,-0.8155722,-0.32315677
1874-11,-0.41554922,-0.6466215,-0.18447687
1874-12,-0.3371681,-0.5899937,-0.0843425
1875-01,-0.23065233,-0.4617631,0.00045845346
1875-02,-0.17931858,-0.38877192,0.030134767
