Time,Anomaly (deg C),Lower confidence limit (2.5%),Upper confidence limit (97.5%)
1875-06,-0.117671676,-0.33259827,0.09725493
1875-07,-0.06105984,-0.2952286,0.17310894
1875-08,-0.24072202,-0.45673907,-0.02470495
1875-09,-0.3131269,-0.57440645,-0.05184738
1875-10,-0.21856253,-0.43392938,-0.0031956707
1875-11,-0.83072805,-1.1251587,-0.5362975
1875-12,-0.70077354,-1.0682348,-0.33331227
1876-01,-0.623623,-0.96935916,-0.27788693
1876-02,-0.38393483,-0.7441928,-0.02367686
1876-03,-0.41514638,-0.8976286,0.067335896
1876-04,-0.45684132,-0.74568087,-0.16800176
1876-05,-0.7160348,-0.97676283,-0.4553069
1876-06,-0.14940025,-0.3655885,0.066787995
1876-07,-0.022539385,-0.22485532,0.17977655
1876-08,-0.20037007,-0.4205917,0.01985155
1876-09,-0.24930085,-0.4669434,-0.031658296
1876-10,-0.27615386,-0.49494848,-0.057359267
1876-11,-0.7221237,-0.9965223,-0.44772506
1876-12,-1.0041267,-1.3648446,-0.6434087
1877-01,-0.516822,-0.84665465,-0.18698934
1877-02,-0.3706382,-0.73359764,-0.0076787686
1877-03,-0.17786238,-0.54635257,0.19062784
1877-04,-0.465637,-0.74404734,-0.18722664
1877-05,-0.31192002,-0.5708398,-0.053000193
1877-06,0.024416076,-0.21098506,0.2598172
1877-07,0.090206884,-0.11048749,0.29090124
1877-08,0.3768908,0.16290651,0.5908751
1877-09,0.16452116,-0.03834491,0.36738724
1877-10,0.044526342,-0.16496426,0.25401694
1877-11,0.08125799,-0.19848996,0.36100596
1877-12,-0.1552871,-0.5271707,0.21659648
1878-01,-0.3300493,-0.64011014,-0.019988468
1878-02,0.280536,-0.07342269,0.63449466
1878-03,0.5733159,0.17035258,0.9762792
1878-04,0.25123623,0.004234086,0.49823835
1878-05,-0.09020836,-0.34650457,0.16608785
1878-06,0.37982076,0.16527744,0.59436405
1878-07,0.09266281,-0.11643837,0.30176398
1878-08,0.115443096,-0.07156962,0.3024558
1878-09,0.19441724,-0.017731242,0.4065657
1878-10,-0.16592672,-0.35807508,0.026221631
1878-11,-0.093853116,-0.3761419,0.18843566
1878-12,-0.35286582,-0.70812666,0.0023950485
1879-01,-0.20937522,-0.56635565,0.14760524
1879-02,-0.26680237,-0.6286282,0.09502341
1879-03,-0.25668782,-0.63011354,0.11673791
1879-04,-0.4471829,-0.70424867,-0.19011717
1879-05,-0.3175708,-0.55013794,-0.085003674
1879-06,-0.31507412,-0.507095,-0.12305327
1879-07,-0.22001521,-0.4087286,-0.031301834
1879-08,-0.31071153,-0.49778423,-0.12363883
1879-09,-0.24165961,-0.46074498,-0.022574257
1879-10,-0.020514285,-0.24344826,0.20241968
1879-11,-0.5903641,-0.90109533,-0.27963287
1879-12,-0.83902556,-1.2294114,-0.44863978
1880-01,-0.4769953,-0.8463107,-0.107679896
1880-02,-0.6396271,-0.99219924,-0.28705496
1880-03,-0.3592889,-0.79548764,0.07690988
1880-04,-0.4652988,-0.81038445,-0.12021313
1880-05,-0.30321893,-0.5805544,-0.02588343
1880-06,-0.30184436,-0.51529473,-0.08839396
1880-07,-0.3074414,-0.49592045,-0.11896238
1880-08,-0.18032041,-0.38034764,0.019706825
1880-09,-0.32459658,-0.5376138,-0.11157935
1880-10,-0.4204255,-0.6175632,-0.22328784
1880-11,-0.34534582,-0.6519014,-0.038790222
1880-12,-0.48357028,-0.86718816,-0.09995242
1881-01,-0.23429029,-0.58228177,0.113701195
1881-02,-0.32012048,-0.67135483,0.031113856
1881-03,-0.37932685,-0.7507315,-0.007922194
1881-04,-0.042219996,-0.28850803,0.20406803
1881-05,-0.14764236,-0.3922798,0.09699511
1881-06,-0.37809783,-0.5721194,-0.18407623
1881-07,-0.18679488,-0.3771124,0.0035226378
1881-08,-0.07692851,-0.25932446,0.10546744
1881-09,-0.27991554,-0.44138214,-0.11844892
1881-10,-0.33983606,-0.5229491,-0.15672302
1881-11,-0.6082631,-0.8650239,-0.35150224
1881-12,-0.41516316,-0.737639,-0.09268733
1882-01,0.09909032,-0.20209295,0.4002736
1882-02,-0.16432194,-0.45178542,0.12314153
1882-03,-0.24070887,-0.5578679,0.07645015
1882-04,-0.43130198,-0.6677979,-0.19480604
1882-05,-0.41357186,-0.64526963,-0.18187411
1882-06,-0.4466336,-0.6346703,-0.2585969
1882-07,-0.4169995,-0.59970176,-0.2342972
1882-08,-0.24126402,-0.43637025,-0.04615778
1882-09,-0.19487807,-0.40670443,0.016948301
1882-10,-0.57260954,-0.7661957,-0.3790233
1882-11,-0.57372403,-0.8113538,-0.33609432
1882-12,-0.8788266,-1.183344,-0.5743092
1883-01,-0.76873684,-1.0516957,-0.4857779
1883-02,-0.8019244,-1.0921801,-0.5116687
1883-03,-0.39769834,-0.68007094,-0.1153258
1883-04,-0.43098447,-0.6406319,-0.22133702
1883-05,-0.3783583,-0.5851265,-0.17159007
1883-06,-0.24178736,-0.42479947,-0.058775254
1883-07,-0.22675799,-0.39765194,-0.05586405
1883-08,-0.2725121,-0.4363073,-0.10871693
1883-09,-0.2995006,-0.46228713,-0.13671413
1883-10,-0.3300371,-0.50695854,-0.15311565
1883-11,-0.62024057,-0.87166667,-0.36881447
1883-12,-0.35622334,-0.68091285,-0.031533834
1884-01,-0.53523445,-0.8260669,-0.24440202
1884-02,-0.46826693,-0.7473144,-0.18921949
1884-03,-0.83276546,-1.1443796,-0.52115124
1884-04,-0.74097013,-0.9458464,-0.53609383
1884-05,-0.65030473,-0.8397463,-0.4608631
1884-06,-0.56313145,-0.72093284,-0.40533006
1884-07,-0.5990647,-0.75451124,-0.44361812
1884-08,-0.5925146,-0.7406395,-0.4443897
1884-09,-0.68428826,-0.8387333,-0.52984315
1884-10,-0.5556734,-0.73241806,-0.37892878
1884-11,-0.84363556,-1.1085925,-0.5786787
1884-12,-0.5476879,-0.8725904,-0.22278535
1885-01,-0.9463799,-1.2224954,-0.6702643
1885-02,-0.67960036,-0.95747703,-0.4017237
1885-03,-0.45487493,-0.71386015,-0.1958897
1885-04,-0.7008803,-0.88934916,-0.5124114
1885-05,-0.6065654,-0.80045086,-0.41268
1885-06,-0.62671715,-0.7876816,-0.46575266
1885-07,-0.36780736,-0.5327274,-0.20288731
1885-08,-0.27369186,-0.4192517,-0.12813202
1885-09,-0.3599102,-0.51849467,-0.20132571
1885-10,-0.3553784,-0.511424,-0.19933277
1885-11,-0.58056265,-0.79399896,-0.3671263
1885-12,-0.16327094,-0.46283314,0.13629127
1886-01,-0.58033466,-0.8185559,-0.3421135
1886-02,-0.6716032,-0.8893433,-0.45386305
1886-03,-0.6646761,-0.87998956,-0.44936252
1886-04,-0.38864297,-0.562227,-0.21505892
1886-05,-0.33990476,-0.5093331,-0.17047639
1886-06,-0.46800348,-0.621423,-0.31458396
1886-07,-0.14984429,-0.2868423,-0.012846316
1886-08,-0.38903704,-0.5365588,-0.24151525
1886-09,-0.38623548,-0.5389997,-0.23347124
1886-10,-0.40174565,-0.57854676,-0.2249445
1886-11,-0.6165673,-0.84457713,-0.38855743
1886-12,-0.289001,-0.59147733,0.013475401
1887-01,-1.0206991,-1.2634307,-0.77796763
1887-02,-0.7700193,-1.0066634,-0.53337514
1887-03,-0.42662627,-0.66394824,-0.18930429
1887-04,-0.4843649,-0.6690156,-0.29971415
1887-05,-0.43881145,-0.6324428,-0.24518014
1887-06,-0.44302702,-0.6180221,-0.26803192
1887-07,-0.3336439,-0.49855363,-0.16873421
1887-08,-0.5067539,-0.66798866,-0.34551924
1887-09,-0.29170734,-0.45849228,-0.124922395
1887-10,-0.4127828,-0.5861134,-0.23945218
1887-11,-0.38166678,-0.6165084,-0.14682509
1887-12,-0.42052606,-0.71225506,-0.12879705
1888-01,-0.67021257,-0.93476826,-0.40565678
1888-02,-0.7543386,-1.0282748,-0.48040244
1888-03,-0.69841117,-0.9916644,-0.40515795
1888-04,-0.29895195,-0.5062121,-0.09169176
1888-05,-0.37598366,-0.58814836,-0.16381899
1888-06,-0.1772829,-0.34700403,-0.0075617717
1888-07,-0.19763234,-0.36674258,-0.028522113
1888-08,-0.23265608,-0.40532312,-0.059989028
1888-09,-0.28478956,-0.47284138,-0.09673777
1888-10,-0.10483774,-0.29114854,0.08147308
1888-11,-0.29309836,-0.5297303,-0.056466423
1888-12,-0.38119578,-0.6915107,-0.07088093
1889-01,-0.5118319,-0.7955348,-0.2281289
1889-02,0.032236442,-0.26686692,0.3313398
1889-03,-0.17097223,-0.4908292,0.14888473
1889-04,-0.020698765,-0.23654836,0.19515084
1889-05,-0.15947138,-0.3567327,0.03778995
1889-06,-0.08844199,-0.26928538,0.09240139
1889-07,-0.19368899,-0.38473907,-0.002638888
1889-08,-0.21421286,-0.382469,-0.04595672
1889-09,-0.23696162,-0.411892,-0.062031224
1889-10,-0.36300173,-0.5584522,-0.1675513
1889-11,-0.7371378,-0.94848186,-0.5257937
1889-12,-0.46140847,-0.7252513,-0.1975656
1890-01,-0.6775718,-0.9075629,-0.44758067
1890-02,-0.52942544,-0.80191517,-0.25693575
1890-03,-0.73067766,-1.0156151,-0.44574022
1890-04,-0.4835734,-0.71455586,-0.25259095
1890-05,-0.5253794,-0.71034163,-0.34041718
1890-06,-0.4635699,-0.6484441,-0.2786957
1890-07,-0.43486744,-0.61912286,-0.25061202
1890-08,-0.42188853,-0.60456914,-0.23920797
1890-09,-0.44064483,-0.6340553,-0.24723436
1890-10,-0.2999997,-0.48733988,-0.11265953
1890-11,-0.81057936,-1.0209168,-0.60024196
1890-12,-0.46588892,-0.73806983,-0.193708
1891-01,-0.68190765,-0.9752743,-0.38854095
1891-02,-0.82627755,-1.1368078,-0.51574737
1891-03,-0.4436354,-0.73967415,-0.14759666
1891-04,-0.5457132,-0.7804607,-0.3109657
1891-05,-0.3883434,-0.58270115,-0.19398569
1891-06,-0.26694426,-0.45358348,-0.08030503
1891-07,-0.27686894,-0.47019175,-0.083546154
1891-08,-0.20353217,-0.39106482,-0.015999531
1891-09,-0.12957332,-0.33245638,0.07330975
1891-10,-0.36638105,-0.5528914,-0.1798707
1891-11,-0.6980582,-0.930463,-0.4656534
1891-12,-0.115588814,-0.3924768,0.16129918
1892-01,-0.5905934,-0.8683372,-0.3128496
1892-02,-0.38296103,-0.670275,-0.09564713
1892-03,-0.78547055,-1.067389,-0.5035521
1892-04,-0.64243114,-0.90035963,-0.38450268
1892-05,-0.5029033,-0.71335304,-0.2924535
1892-06,-0.31022456,-0.50806713,-0.112382
1892-07,-0.5307117,-0.7335021,-0.3279214
1892-08,-0.49370152,-0.6716542,-0.3157488
1892-09,-0.3515445,-0.53374344,-0.16934551
